Congressmember Name,Congressmember Role
"Abraham, Ralph","Representative for Louisiana's 5th congressional district, 2015-2020"
"Adams, Alma","Representative for North Carolina's 12th congressional district, 2014-2020"
"Aderholt, Robert","Representative for Alabama's 4th congressional district, 1997-2020"
"Aguilar, Pete","Representative for California's 31st congressional district, 2015-2020"
"Alexander, Lamar","Senior Senator for Tennessee, 2003-2020"
"Allen, Rick","Representative for Georgia's 12th congressional district, 2015-2020"
"Allred, Colin","Representative for Texas's 32nd congressional district, 2019-2020"
"Amash, Justin","Representative for Michigan's 3rd congressional district, 2011-2020"
"Amata, Aumua","Representative for American Samoa, 2015-2020"
"Amodei, Mark","Representative for Nevada's 2nd congressional district, 2011-2020"
"Armstrong, Kelly","Representative for North Dakota At Large, 2019-2020"
"Arrington, Jodey","Representative for Texas's 19th congressional district, 2017-2020"
"Axne, Cynthia","Representative for Iowa's 3rd congressional district, 2019-2020"
"Babin, Brian","Representative for Texas's 36th congressional district, 2015-2020"
"Bacon, Don","Representative for Nebraska's 2nd congressional district, 2017-2020"
"Baird, James","Representative for Indiana's 4th congressional district, 2019-2020"
"Balderson, Troy","Representative for Ohio's 12th congressional district, 2018-2020"
"Baldwin, Tammy","Junior Senator for Wisconsin, 2013-2024"
"Banks, Jim","Representative for Indiana's 3rd congressional district, 2017-2020"
"Barr, Garland “Andy”","Representative for Kentucky's 6th congressional district, 2013-2020"
"Barragán, Nanette","Representative for California's 44th congressional district, 2017-2020"
"Barrasso, John","Junior Senator for Wyoming, 2007-2024"
"Bass, Karen","Representative for California's 37th congressional district, 2013-2020"
"Beatty, Joyce","Representative for Ohio's 3rd congressional district, 2013-2020"
"Bennet, Michael","Senior Senator for Colorado, 2009-2022"
"Bera, Ami","Representative for California's 7th congressional district, 2013-2020"
"Bergman, Jack","Representative for Michigan's 1st congressional district, 2017-2020"
"Beyer, Donald","Representative for Virginia's 8th congressional district, 2015-2020"
"Biggs, Andy","Representative for Arizona's 5th congressional district, 2017-2020"
"Bilirakis, Gus","Representative for Florida's 12th congressional district, 2013-2020"
"Bishop, Dan","Representative for North Carolina's 9th congressional district, 2019-2020"
"Bishop, Rob","Representative for Utah's 1st congressional district, 2003-2020"
"Bishop, Sanford","Representative for Georgia's 2nd congressional district, 1993-2020"
"Blackburn, Marsha","Junior Senator for Tennessee, 2019-2024"
"Blumenauer, Earl","Representative for Oregon's 3rd congressional district, 1996-2020"
"Blumenthal, Richard","Senior Senator for Connecticut, 2011-2022"
"Blunt Rochester, Lisa","Representative for Delaware At Large, 2017-2020"
"Blunt, Roy","Senior Senator for Missouri, 2011-2022"
"Bonamici, Suzanne","Representative for Oregon's 1st congressional district, 2012-2020"
"Booker, Cory","Junior Senator for New Jersey, 2013-2020"
"Boozman, John","Senior Senator for Arkansas, 2011-2022"
"Bost, Mike","Representative for Illinois's 12th congressional district, 2015-2020"
"Boyle, Brendan","Representative for Pennsylvania's 2nd congressional district, 2019-2020"
"Brady, Kevin","Representative for Texas's 8th congressional district, 1997-2020"
"Braun, Mike","Junior Senator for Indiana, 2019-2024"
"Brindisi, Anthony","Representative for New York's 22nd congressional district, 2019-2020"
"Brooks, Mo","Representative for Alabama's 5th congressional district, 2011-2020"
"Brooks, Susan","Representative for Indiana's 5th congressional district, 2013-2020"
"Brown, Anthony","Representative for Maryland's 4th congressional district, 2017-2020"
"Brown, Sherrod","Senior Senator for Ohio, 2007-2024"
"Brownley, Julia","Representative for California's 26th congressional district, 2013-2020"
"Buchanan, Vern","Representative for Florida's 16th congressional district, 2013-2020"
"Buck, Ken","Representative for Colorado's 4th congressional district, 2015-2020"
"Bucshon, Larry","Representative for Indiana's 8th congressional district, 2011-2020"
"Budd, Ted","Representative for North Carolina's 13th congressional district, 2017-2020"
"Burchett, Tim","Representative for Tennessee's 2nd congressional district, 2019-2020"
"Burgess, Michael","Representative for Texas's 26th congressional district, 2003-2020"
"Burr, Richard","Senior Senator for North Carolina, 2005-2022"
"Bustos, Cheri","Representative for Illinois's 17th congressional district, 2013-2020"
"Butterfield, George “G.K.”","Representative for North Carolina's 1st congressional district, 2004-2020"
"Byrne, Bradley","Representative for Alabama's 1st congressional district, 2014-2020"
"Calvert, Ken","Representative for California's 42nd congressional district, 2013-2020"
"Cantwell, Maria","Junior Senator for Washington, 2001-2024"
"Capito, Shelley","Junior Senator for West Virginia, 2015-2020"
"Carbajal, Salud","Representative for California's 24th congressional district, 2017-2020"
"Cardin, Benjamin","Senior Senator for Maryland, 2007-2024"
"Carper, Thomas","Senior Senator for Delaware, 2001-2024"
"Carson, André","Representative for Indiana's 7th congressional district, 2008-2020"
"Carter, Buddy","Representative for Georgia's 1st congressional district, 2015-2020"
"Carter, John","Representative for Texas's 31st congressional district, 2003-2020"
"Cartwright, Matthew","Representative for Pennsylvania's 8th congressional district, 2019-2020"
"Case, Ed","Representative for Hawaii's 1st congressional district, 2019-2020"
"Casey, Robert “Bob”","Senior Senator for Pennsylvania, 2007-2024"
"Cassidy, Bill","Senior Senator for Louisiana, 2015-2020"
"Casten, Sean","Representative for Illinois's 6th congressional district, 2019-2020"
"Castor, Kathy","Representative for Florida's 14th congressional district, 2013-2020"
"Castro, Joaquin","Representative for Texas's 20th congressional district, 2013-2020"
"Chabot, Steve","Representative for Ohio's 1st congressional district, 2011-2020"
"Cheney, Liz","Representative for Wyoming At Large, 2017-2020"
"Chu, Judy","Representative for California's 27th congressional district, 2013-2020"
"Cicilline, David","Representative for Rhode Island's 1st congressional district, 2011-2020"
"Cisneros, Gilbert","Representative for California's 39th congressional district, 2019-2020"
"Clark, Katherine","Representative for Massachusetts's 5th congressional district, 2013-2020"
"Clarke, Yvette","Representative for New York's 9th congressional district, 2013-2020"
"Clay, Lacy","Representative for Missouri's 1st congressional district, 2001-2020"
"Cleaver, Emanuel","Representative for Missouri's 5th congressional district, 2005-2020"
